lat,lng,时间,地点,寺庙（可无）,人物,事件
35.85133699,102.4871366,,,仁务寺,,
35.85133699,102.4871366,,,贺龙堡寺,,
35.85133699,102.4871366,,,吾曼道寺,,
36.8440651,101.9567617,,,开佛寺,,
36.8440651,101.9567617,,,乱尔寺,,
32.2055717,96.48913171,,,德加寺,,
32.99507321,97.00874406,,,嘎拉寺,,
32.99507321,97.00874406,,,让娘寺,,
32.99507321,97.00874406,,,邦古寺,,
34.1391084,95.8046514,,,江让寺,,
35.51618082,102.0167728,,,隆务寺,,
35.51618082,102.0167728,,,夏卜浪寺,,
35.51618082,102.0167728,,,卧科寺,,
35.94342576,102.038122,,,洛多杰扎寺,,
35.94342576,102.038122,,,古哇寺,,
35.94342576,102.038122,,,桑主寺,,
36.03977694,101.4318941,,,大佛寺,,
36.01130319,102.0292709,,,支哈加寺,,
36.01130319,102.0292709,,,安关群哇寺,,
36.01130319,102.0292709,,,香塔寺,,
36.01130319,102.0292709,,,班主哇寺,,
32.2055717,96.48913171,,,德龙寺,,
35.94342576,102.038122,,,昂拉赛康寺,,
36.03977694,101.4318941,,,上兰角寺,,
36.03977694,101.4318941,,,下兰角寺,,
36.2845626,100.6181309,,,当家寺,,
32.2055717,96.48913171,,,东囊拉钦寺,,
32.99507321,97.00874406,,,相古寺,,
32.99507321,97.00874406,,,当卡寺,,
32.99507321,97.00874406,,,扎西格寺,,
32.89540017,95.29960463,,,日哇多玛寺,,
32.89540017,95.29960463,,,巴矣寺,,
32.89540017,95.29960463,,,格那寺,,
32.2055717,96.48913171,,,肖甫寺,,
32.2055717,96.48913171,,,觉让寺,,
32.2055717,96.48913171,,,扎西寺,,
32.2055717,96.48913171,,,卡乃寺,,
32.2055717,96.48913171,,,拉隆寺,,
32.2055717,96.48913171,,,杂扎西寺,,
32.99507321,97.00874406,,,阿扎寺,,
33.37923553,97.1088226,,,群则寺,,
32.2055717,96.48913171,,,吉周寺,,
32.2055717,96.48913171,,,宗达寺,,
32.2055717,96.48913171,,,要毕日寺,,
32.2055717,96.48913171,,,求嘎寺,,
32.2055717,96.48913171,,,毕日拉庆寺,,
32.2055717,96.48913171,,,毕日拉穹寺,,
32.99507321,97.00874406,,,唐隆寺,,
32.99507321,97.00874406,,,桑周寺,,
32.99507321,97.00874406,,,隆庆寺,,
32.99507321,97.00874406,,,达杰寺,,
32.99507321,97.00874406,,,昂普寺,,
32.99507321,97.00874406,,,布荣寺,,
32.99507321,97.00874406,,,多多寺,,
32.99507321,97.00874406,,,东春寺,,
32.99507321,97.00874406,,,当头寺,,
33.37923553,97.1088226,,,杂藏寺,,
33.37923553,97.1088226,,,东程寺,,
33.37923553,97.1088226,,,岗察寺,,
33.37923553,97.1088226,,,土登寺,,
33.37923553,97.1088226,,,多干寺,,
33.37923553,97.1088226,,,赛达寺,,
33.37923553,97.1088226,,,赛甫寺,,
33.37923553,97.1088226,,,帮夏寺,,
